number,name,description,image
5882-1,Fugue Collection,"At home in a number of room settings, the Fugue Collection is styled to fit your needs. With a horizontal channel-tufted design in a neutral gray tone fabric, the bed will be the perfect platform for your decorative dreams to become reality.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5882-1.jpg
8329BRW-3,Jarita Collection ,"The classic transitional styling of the Jarita Collection creates a look that is perfect for your casual living space. Offered in black or brown bi-cast vinyl, each piece in the collection offers plush seats, backs and arms. With the pull of the manual reclining mechanism, you are taken from a seated to prone position in an easy motion.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8329BRW.jpg
5520-78,Fulbright Collection ,"An updated look for the casual country inspired dining space, the Fulbright Collection is a warm and inviting addition to your home. A weathered gray rub through finish serves to contrast the coffee finish of the table top, seats and server top, lending to the updated styling of the traditional look. The available bench provides an additional seating option beyond the expected side chair configuration, creating an open and inviting communal look.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5520-78.jpg
B2013SBDC-1,Rowe Collection ,"Maximizing sleep space is achieved with the stylish Rowe Collection. This transitional bedroom group is featured in a dark cherry finish making it an appropriate choice for a number of youth bedroom settings. With twin over full, twin over twin, full over full configurations - along the newly available captains bed, with trundle that features two drawers, and twin/twin bunk with storage stair steps - the design allows you to choose the size that is right for your family. Two under bed options are available for the bunk beds - toy boxes that provide additional storage space or twin trundle that offers additional sleep space.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/B2013SBDC-1 -R.jpg
1296F1S,Avina Collection,"Updating the profile of a traditionally styled wingback chair is the Avina Collection. Available in two colors, the more traditional gray covering provides classic neutral accent while the teal covering adds a pop of dramatic color to your living space. High polish nailhead accent further lends to the updated take on this classic frame.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1296F1S.jpg
1296F2S,Avina Collection,"Updating the profile of a traditionally styled wingback chair is the Avina Collection. Available in two colors, the more traditional gray covering provides classic neutral accent while the teal covering adds a pop of dramatic color to your living space. High polish nailhead accent further lends to the updated take on this classic frame.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1296F2S.jpg
1811W-1,Linnea Collection ,"Ultra-contemporary in design and scale, the Linnea Collection will add modern flair to your bedroom. Finished in high-gloss white, each piece of the suite is accented with chrome finished feet for the ultimate sturdy in contrast. The headboard features a white bi-cast vinyl padded insert that is flanked by flat panel framing. Each case piece is highlighted with elongated, chrome-finished hardware.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1811W-1.jpg
5518-78,Mattawa Collection ,"Rustic industrial styling heavily influences the design of the Mattawa Collection. Metal banded rivet accenting provides visual contrast to the chairs, table and server of this casual dining collection. The brown finish has hints of gray undertone lending to the rustic look. Accompanying the collection is the server, featuring drawers and behind door storage.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5518-78.jpg
1935PN-1,Bonaventure Park Collection ,"With styling that exemplifies traditional design, the Bonaventure Park Collection exudes sophistication and refined elegance. Cantered pilasters frame the serpentine fronted case goods, while egg and dart molding, acanthus leaf motif and bale, and button hardware lend to the traditional look. Burl inlay creates beautiful contrast to the gold-highlighted warm cherry finish of the collection. Button tufting features prominently on the traditional low profile bed, while the footboard with heavy wood framing.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1935PN-1.jpg
5885-1*,Forte Collection,"At home in a number of room settings, the Forte Collection is styled to fit your needs. With a vertical channel-tufted design in a neutral gray tone fabricand cherry finished wood feet, the bed will be the perfect platform for your decorative dreams to become reality.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5885-1.jpg
8200BRW-3,Mahala Collection ,"Plush seating is paired with brown top grain leather and vinyl match in the Mahala Collection to create the ultimate platform for relaxation. Offered in two reclining options, a manual or power engaged. The motion mechanisms allow for quick transition from seated to prone with either the quick pull of the manual tab or the push of the power button.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8200BRW.jpg
8200BRW-3PW,Mahala Collection ,"Plush seating is paired with brown top grain leather and vinyl match in the Mahala Collection to create the ultimate platform for relaxation. Offered in two reclining options, a manual or power engaged. The motion mechanisms allow for quick transition from seated to prone with either the quick pull of the manual tab or the push of the power button.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8200BRW.jpg
